Speed,q
1220,0.00
1170,0.00
1127,0.00
1084,0.00
1046,0.00
1008,0.00
968,0.00
928,0.00
892,0.00
859,0.00
821,0.00
788,0.00
755,0.00
723,0.00
682,1.28
593,20.29
555,61.81
536,101.90
547,85.83
544,87.83
542,88.73
541,88.70
540,89.74
538,90.26
537,90.15
535,89.47
533,88.84
528,89.11
521,88.41
511,87.81
506,87.73
496,88.13
497,87.67
514,85.80
520,86.40
519,87.33
523,87.17
533,86.43
537,88.69
541,89.59
549,89.88
554,91.87
558,92.14
565,91.55
576,89.63
576,90.07
577,93.89
595,95.82
602,94.37
594,98.55
602,98.64
623,95.05
628,91.40
625,99.33
630,99.92
643,96.87
655,98.28
653,99.81
655,102.92
671,100.32
686,101.87
682,103.40
683,106.11
702,105.73
709,105.05
711,107.98
719,108.89
732,108.82
739,109.92
743,111.04
750,112.39
761,113.29
771,113.85
779,115.80
786,116.96
789,118.53
801,120.19
818,120.49
819,122.55
821,125.64
844,126.00
855,127.48
854,131.13
865,131.59
886,132.51
892,133.54
893,133.55
912,133.74
930,134.04
929,134.02
934,134.02
958,133.97
975,133.90
969,134.07
980,133.93
1009,134.34
1019,134.54
1015,134.57
1028,133.68
1050,126.68
1052,119.64
1052,115.25
1068,107.65
1083,101.53
1082,95.95
1079,93.02
1095,88.46
1109,85.61
1109,83.40
1103,81.84
1114,80.53
1133,79.38
1131,79.36
1122,81.60
1140,86.10
1159,91.04
1156,96.24
1149,100.51
1166,105.70
1184,109.73
1185,112.63
1183,114.96
1195,116.52
1213,117.71
1221,118.59
1223,119.21
1229,119.57
1248,120.00
1260,120.26
1260,120.24
1269,120.22
1287,120.19
1295,119.81
1294,119.66
1310,119.40
1326,118.54
1328,110.74
1357,76.89
1481,53.26
1554,36.09
1590,23.83
1595,15.76
1581,10.30
1551,6.21
1503,0.00
1454,0.00
1406,0.00
1362,0.00
1318,0.00
1277,0.00
1234,0.00
1196,0.00
1156,0.00
1114,0.00
1056,0.00
934,0.01
754,0.31
731,3.10
859,10.27
842,15.07
733,19.20
770,25.43
846,29.95
815,33.24
752,37.45
810,42.95
828,46.05
751,49.40
817,52.53
800,53.53
768,55.52
828,56.41
775,56.69
800,57.91
794,57.62
787,58.55
821,58.24
774,58.12
805,58.72
800,58.04
797,58.19
804,57.58
783,56.90
811,56.36
800,55.41
793,55.51
800,55.41
799,55.48
810,55.55
791,55.66
796,56.09
811,55.94
800,56.00
801,56.28
799,56.52
812,56.70
802,56.67
799,56.97
809,57.08
808,57.02
804,57.03
804,57.16
812,57.16
811,56.98
802,57.03
809,57.10
815,56.84
807,56.60
806,56.34
814,56.01
817,55.35
805,53.72
811,52.01
821,49.95
814,48.54
807,46.66
813,45.26
821,44.30
815,43.18
808,42.55
818,42.38
823,42.19
809,42.08
812,42.47
818,44.19
822,48.07
813,53.53
813,58.57
826,61.64
824,64.52
813,66.63
822,68.56
829,69.56
822,70.25
819,71.05
829,71.34
830,71.31
824,71.46
828,71.42
833,71.22
830,70.98
833,70.89
836,70.51
838,70.32
836,69.84
838,69.14
845,68.43
839,67.62
840,66.69
848,65.63
844,65.03
843,64.46
845,63.58
850,62.86
849,62.20
845,61.98
855,61.53
855,60.92
852,60.70
856,60.52
856,60.24
861,60.04
