Speed,q,p
1196,46.12,939957.1725
1193,46.14,938299.3134
1196,46.08,939043.2695
1199,46.02,941357.4241
1196,45.98,939628.401
1197,45.98,938957.0956
1199,45.92,939671.371
1200,45.88,940371.5809
1200,45.82,940400.9335
1199,45.8,925685.7715
1201,45.04,867892.587
1200,35.91,769675.8445
1198,25.82,705170.8759
1199,19.34,706200
1194,11.12,704201.8511
1180,7.04,697321.2234
1187,3.04,700382.6151
1206,0.04,710597.4317
1194,0,703513.0359
1203,0,707490.5919
1197,0,705528.394
1203,0,708015.8364
1195,0,704354.3899
1199,0,707014.2319
1199,0,706401.2292
1196,0,705312.7882
1199,0,706171.6228
1198,0,705614.0904
1197,0,705287.7056
1195,0,704499.3988
1199,0,705899.0743
1199,0,706087.797
1196,0,705013.9752
1198,0,705613.8269
1199,0,705928.8227
1198,0,705372.24
1196,0,704386.3319
1196,0,704498.125
1198,0,705471.2412
1198,0,705457.668
1197,0,704986.6477
1196,0,704956.318
1196,0,705315.0471
1196,0,704942.3124
1197,0,705271.1193
1197,0,705613.6846
1198,0,705573.3172
1196,0,704728.9225
1196,0,704600
1197,0,705381.8001
1199,0,706728.9541
1197,0,705318.9133
1193,0,703568.5516
1196,0,705381.3756
1200,0,706657.7361
1198,0,705618.4648
1196,0,704697.0039
1199,0,706097.9285
1199,0,706289.9981
1196,0,704645.1545
1196,0,704995.4596
1199,0,706800
1198,0,705806.6639
1195,0,704142.1697
1197,0,705251.3786
1200,0,706870.9258
1199,0,705721.1268
1194,0,703613.0743
1197,0,705348.9137
1202,0,707444.9405
1199,0,706090.2761
1196,0,704729.0829
1197,0,705521.6552
1201,0,707270.9659
1199,0,706407.4974
1196,0,705308.7169
1200,0,706954.6265
1201,0,706891.2876
1199,0,705529.175
1199,0,705896.2673
1201,0,707012.4845
1201,0,706691.6585
1198,0,705400
1199,0,706249.8957
1202,0,707587.6267
1200,0,706561.9989
1198,0,705400
1199,0,706178.5032
1201,0,707316.644
1200,0,706800
1199,0,706375.5205
1199,0,706025.0706
1202,0,707083.1586
1202,0,706821.5566
1199,0,705895.8932
1200,0,706729.1821
1200,0,706600
1201,0,706883.3849
1201,0,707046.2125
1199,0,706329.2598
1199,0,706483.3762
1200,0,706646.0862
1199,0,706283.0047
1200,0,707154.188
1202,0,707516.9679
1201,0,706787.7114
1200,0,706683.317
1201,0,706846.1214
1201,0,706695.2143
1202,0,707316.719
1199,0,706516.9052
1199,0,706424.7135
1202,0,707200
1201,0,707200
1200,0,707058.4396
1200,0,706729.1155
1200,0,706670.784
1199,0,706304.6735
1197,0,705612.5001
1199,0,706070.7646
1201,0,706412.1968
1199,0,706162.3872
1197,0,705424.7241
1200,0,706765.992
1202,0,707445.7103
1200,0,706729.1937
1199,0,706670.7526
1200,0,706800
1201,0,706800
1200,0,706446.2645
1199,0,706437.8467
1202,0,707529.1906
1201,0,706692.2256
1199,0,705754.4526
1200,0,706683.2457
1202,0,707058.4124
1200,0,706374.652
1199,0,705812.5195
1200,0,706624.6249
1201,0,706903.8003
1198,0,705787.493
1198,0,705824.8519
1200,0,706954.5491
1202,0,707245.7556
1200,0,706458.4373
1199,0,706483.6265
1200,0,706504.09
1198,0,705104.3475
1197,0,705050.5819
1200,0,706954.2917
1200,0,706962.333
1198,0,705587.3371
1198,0,705554.1543
1200,0,706554.2331
1200,0,706703.2676
1197,0,705161.8327
1196,0,704779.4471
1199,0,706341.9551
1199,0,705820.0912
1196,0,704683.4803
1196,0,705200
1197,0,705483.6894
1198,0,705716.4311
1196,0,704915.9832
1196,0,704755.0597
1196,0,705115.8543
1196,0,704600
1196,0,704386.8729
1194,0,704141.9389
1195,0,704400
