Speed,q,p
674,12.77,435984
676,12.47,436037
675,11.56,433107
675,12.02,434294
674,12.77,436109
675,12.56,435824
674,12.59,435351
674,13.23,437299
674,13.47,437814
675,13.31,437967
676,12.40,435737
675,11.78,433953
675,12.76,436269
676,12.40,436011
675,11.65,433652
675,11.93,434369
675,12.50,435734
676,12.13,435304
675,11.66,433361
675,12.32,435257
676,12.35,435591
675,11.78,433959
674,12.56,435456
676,12.24,435471
675,11.64,433597
675,12.04,434317
673,13.07,436502
676,12.50,436273
675,11.54,433189
675,12.55,435687
675,12.66,436144
676,11.40,433086
674,12.42,434908
675,13.06,437156
675,12.25,435200
675,11.46,433118
674,12.86,436225
676,12.35,435887
675,11.27,432487
674,12.52,435478
675,12.55,435942
673,5.95,417736
651,4.01,401147
631,9.26,407988
626,11.72,413210
618,6.05,391976
603,8.53,393276
596,12.33,402855
594,9.75,393439
585,8.58,385993
576,10.75,389894
574,11.53,391673
573,9.62,384780
565,9.17,380011
558,11.63,385892
560,10.89,384034
557,8.11,373555
549,10.52,378269
548,13.72,389107
552,8.80,373712
545,6.77,364012
540,13.97,386510
544,12.26,382566
543,8.34,368531
533,10.35,371395
535,14.29,385728
541,9.58,372012
536,8.15,365144
529,11.55,374224
533,13.37,382063
536,8.46,366225
530,8.83,365055
528,13.63,380923
530,12.79,378887
525,12.03,374186
516,18.82,397534
501,29.58,434559
482,42.92,501966
474,52.26,549712
487,84.29,657703
519,77.30,640983
537,73.75,638967
554,78.96,665242
574,66.68,633632
572,60.73,612401
560,58.72,598366
550,72.36,641992
567,80.51,679408
587,68.04,644009
584,65.05,632503
586,75.09,671488
604,74.79,679589
614,66.97,651946
618,65.34,648369
632,62.37,644245
648,51.59,602295
657,44.72,570278
672,42.60,565379
704,40.17,564962
728,38.18,564526
746,36.09,562159
754,34.11,559322
750,31.96,544835
741,30.90,536367
737,30.28,531680
741,29.88,531390
751,29.57,535422
764,29.00,548021
770,27.89,550574
767,26.99,542685
760,26.43,530972
749,26.35,519074
741,26.61,516685
739,27.08,518003
744,27.67,522981
757,27.82,534559
768,27.43,545955
770,26.55,543538
761,25.82,529458
745,22.36,499271
722,19.06,476000
702,16.74,459235
701,15.40,453770
704,14.65,452385
704,14.11,451414
702,13.56,449046
700,13.26,447403
697,14.19,448754
698,14.91,450841
698,14.53,449891
691,15.28,449598
677,19.97,461782
665,28.99,493966
665,34.51,521207
668,36.91,534719
671,37.82,540423
675,38.46,545288
677,38.99,548897
682,38.30,547272
685,35.69,535492
684,30.39,508699
677,24.72,481410
671,24.24,476867
674,21.75,468045
676,16.98,450139
672,14.53,439915
671,16.22,445101
673,14.93,441115
671,14.42,439217
670,14.63,439302
669,16.61,445810
670,16.43,445731
672,16.25,445769
674,15.71,444317
674,14.99,441823
671,15.57,442969
674,16.59,447783
676,14.57,441451
673,15.73,444236
674,16.45,447119
676,15.03,442566
675,15.15,442644
676,15.29,443560
675,15.04,442513
676,14.44,441142
675,14.76,441445
675,15.28,443411
676,14.08,440090
676,14.35,440776
675,14.76,441585
674,14.95,441787
656,18.91,449235
632,34.75,508693
628,35.92,513087
623,36.91,516088
621,37.37,517991
623,37.23,517841
625,36.99,517313
626,36.78,516555
640,36.04,518695
666,33.35,515839
683,21.61,470861
676,16.69,449089
674,20.42,462286
674,21.77,468123
676,19.82,460771
676,19.83,460689
670,20.10,459492
652,27.18,480885
635,35.45,513529
629,37.12,519579
623,37.85,521213
621,38.67,524701
621,38.84,525610
622,38.48,524259
621,38.49,523939
624,38.62,525556
645,36.99,525471
668,34.06,520177
682,24.51,482539
674,23.37,474672
678,26.18,488053
680,23.63,478166
677,22.05,470210
680,23.79,478714
684,19.82,463684
682,18.85,459313
681,17.77,454990
682,17.29,453436
680,16.42,449636
676,17.98,453863
677,17.73,453097
666,19.58,455977
649,28.10,483224
647,35.06,516491
656,35.10,520324
666,34.39,521047
673,33.58,519679
676,31.65,511521
679,30.16,505246
691,26.23,493868
693,17.53,458825
685,17.71,456394
681,19.24,460461
